Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE FLORENCE RESIDENCES,"2,553,000","1,668.42","1,530",May-21,HOUGANG AVENUE 2,New Sale,Strata,155,"16,471",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
EVERGREEN PARK,"820,000","1,022.58",802,May-21,HOUGANG AVENUE 7,Resale,Strata,95,"8,632",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
FOREST WOODS,"2,300,000","1,248.62","1,842",May-21,LORONG LEW LIAN,Sub Sale,Strata,116,"19,828",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
CHILTERN PARK,"1,688,000","1,517.72","1,112",May-21,SERANGOON AVENUE 3,Resale,Strata,141,"11,972",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,06 to 10
THE LUXURIE,"1,490,000","1,722.24",865,May-21,COMPASSVALE ROAD,Resale,Strata,160,"9,313",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
LA FIESTA,"1,070,000",828.83,"1,291",May-21,SENGKANG SQUARE,Resale,Strata,77,"13,896",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
KOVAN REGENCY,"1,315,000",893.41,"1,472",May-21,KOVAN RISE,Resale,Strata,83,"15,843",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
PALM HAVEN,"1,180,000","1,087.16","1,085",May-21,PALM GROVE AVENUE,Resale,Strata,101,"11,683",-,Condominium,1,999 yrs lease commencing from 1876,19,Outside Central Region,01 to 05
FLO RESIDENCE,"1,100,000","1,011.82","1,087",May-21,PUNGGOL FIELD WALK,Resale,Strata,94,"11,702",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
LA FIESTA,"970,000",731.95,"1,325",May-21,SENGKANG SQUARE,Resale,Strata,68,"14,265",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,593,600",936.47,"1,702",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,317",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE MINTON,"2,600,000","2,249.68","1,156",May-21,HOUGANG STREET 11,Resale,Strata,209,"12,440",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
REGENTVILLE,"1,210,000","1,743.77",694,May-21,HOUGANG STREET 92,Resale,Strata,162,"7,469",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15
CARDIFF RESIDENCE,"750,000",559.73,"1,340",May-21,CARDIFF GROVE,Resale,Strata,52,"14,423",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE MINTON,"1,300,000","1,108.69","1,173",May-21,HOUGANG STREET 11,Resale,Strata,103,"12,621",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
RIVERSOUND RESIDENCE,"1,110,000","1,065.64","1,042",May-21,SENGKANG EAST AVENUE,Resale,Strata,99,"11,212",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
BOATHOUSE RESIDENCES,"890,000",839.59,"1,060",May-21,UPPER SERANGOON VIEW,Resale,Strata,78,"11,410",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PALM GROVE CONDOMINIUM,"1,900,000","1,700.71","1,117",May-21,PALM GROVE AVENUE,Resale,Strata,158,"12,025",-,Condominium,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
TERRASSE,"1,435,000","1,227.1","1,169",May-21,TERRASSE LANE,Resale,Strata,114,"12,588",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,389,960",850.36,"1,635",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,594",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,270,920",914.94,"1,389",May-21,HOUGANG AVENUE 7,New Sale,Strata,85,"14,952",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,569,600",936.47,"1,676",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,041",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
D'ZIRE,"600,000",462.85,"1,296",May-21,ROBEY CRESCENT,Resale,Strata,43,"13,953",-,Apartment,1,999 yrs lease commencing from 1875,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,368,000",850.36,"1,609",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,316",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,892,100","1,410.08","1,342",May-21,HOUGANG AVENUE 7,New Sale,Strata,131,"14,444",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
WATERTOWN,"765,000",581.26,"1,316",May-21,PUNGGOL CENTRAL,Resale,Strata,54,"14,167",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
PARC CENTROS,"940,000",764.24,"1,230",May-21,PUNGGOL CENTRAL,Resale,Strata,71,"13,239",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
BLISS@KOVAN,"1,268,000",839.59,"1,510",May-21,SIMON LANE,Resale,Strata,78,"16,256",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE QUARTZ,"1,220,000","1,151.75","1,059",May-21,COMPASSVALE BOW,Resale,Strata,107,"11,402",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"687,000",484.38,"1,418",May-21,COMPASSVALE BOW,Resale,Strata,45,"15,267",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE MINTON,"1,020,000",979.52,"1,041",May-21,HOUGANG STREET 11,Resale,Strata,91,"11,209",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
RIVERSAILS,"1,000,000",947.23,"1,056",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,88,"11,364",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
BARTLEY RESIDENCES,"1,200,000",807.3,"1,486",May-21,LORONG HOW SUN,Resale,Strata,75,"16,000",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
LA FIESTA,"1,610,000","1,345.5","1,197",May-21,SENGKANG SQUARE,Resale,Strata,125,"12,880",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,374,000",850.36,"1,616",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,392",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,226,040",871.88,"1,406",May-21,HOUGANG AVENUE 7,New Sale,Strata,81,"15,136",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
KOVAN RESIDENCES,"2,200,000","1,776.06","1,239",May-21,KOVAN ROAD,Resale,Strata,165,"13,333",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,577,600",936.47,"1,685",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,133",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,124,800",678.13,"1,659",May-21,COMPASSVALE BOW,New Sale,Strata,63,"17,854",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,350,400",764.24,"1,767",May-21,COMPASSVALE BOW,New Sale,Strata,71,"19,020",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
MIDTOWN RESIDENCES,"908,000",656.6,"1,383",May-21,UPPER SERANGOON ROAD,Resale,Strata,61,"14,885",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
PARC VERA,"2,720,000","3,950.39",689,May-21,HOUGANG STREET 32,Resale,Strata,367,"7,411",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,16 to 20
RESIDENTIAL APARTMENTS,"1,120,000","1,291.68",867,May-21,LORONG 1 REALTY PARK,Resale,Strata,120,"9,333",-,Apartment,1,999 yrs lease commencing from 1879,19,Outside Central Region,01 to 05
RIVERSOUND RESIDENCE,"975,000",947.23,"1,029",May-21,SENGKANG EAST AVENUE,Resale,Strata,88,"11,080",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
JADE RESIDENCES,"1,960,000","1,700.71","1,152",May-21,LEW LIAN VALE,Resale,Strata,158,"12,405",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"2,091,000","1,485.43","1,408",May-21,HOUGANG AVENUE 7,New Sale,Strata,138,"15,152",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,148,800",678.13,"1,694",May-21,COMPASSVALE BOW,New Sale,Strata,63,"18,235",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,595,000","1,022.58","1,560",May-21,HOUGANG AVENUE 2,New Sale,Strata,95,"16,789",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,347,390",850.36,"1,585",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,056",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,386,000",904.18,"1,533",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"16,500",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,305,600",764.24,"1,708",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,389",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,077,000",624.31,"1,725",May-21,HOUGANG AVENUE 2,New Sale,Strata,58,"18,569",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
BLISS@KOVAN,"1,300,000",914.94,"1,421",May-21,SIMON LANE,Resale,Strata,85,"15,294",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE BENTLY RESIDENCES@KOVAN,"2,280,000","2,077.45","1,097",May-21,KOVAN ROAD,Resale,Strata,193,"11,813",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
LA FIESTA,"910,000",731.95,"1,243",May-21,SENGKANG SQUARE,Resale,Strata,68,"13,382",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,600,000",936.47,"1,709",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,391",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"600,000",484.38,"1,239",May-21,UPPER SERANGOON VIEW,Resale,Strata,45,"13,333",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
BOATHOUSE RESIDENCES,"750,000",710.42,"1,056",May-21,UPPER SERANGOON VIEW,Resale,Strata,66,"11,364",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
UPPER SERANGOON SHOPPING CENTRE,"1,430,000","1,463.9",977,May-21,UPPER SERANGOON ROAD,Resale,Strata,136,"10,515",-,Apartment,1,Freehold,19,Outside Central Region,06 to 10
TERRASSE,"1,868,000","1,883.7",992,May-21,TERRASSE LANE,Resale,Strata,175,"10,674",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
RIVERVALE CREST,"780,000",947.23,823,May-21,RIVERVALE CRESCENT,Resale,Strata,88,"8,864",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
TANGERINE GROVE,"1,550,000","1,184.04","1,309",May-21,PAYA LEBAR CRESCENT,Resale,Strata,110,"14,091",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
KOVAN GRANDEUR,"685,000",570.49,"1,201",May-21,TAMPINES ROAD,Resale,Strata,53,"12,925",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,145,000",731.95,"1,564",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"16,838",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,732,000","1,033.34","1,676",May-21,COMPASSVALE BOW,New Sale,Strata,96,"18,042",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
GAMBIR RIDGE,"820,000",592.02,"1,385",May-21,GAMBIR WALK,Resale,Strata,55,"14,909",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
A TREASURE TROVE,"923,000",775.01,"1,191",May-21,PUNGGOL WALK,Resale,Strata,72,"12,819",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
