name,type,education_tag,address,postal_code,phone,email,website,zone,school_active,is_enrolling,latitude,longitude
Nanyang Primary School,primary,Primary,King's Road,268097,64672677,nyps@moe.edu.sg,http://www.nyps.moe.edu.sg,,,,,
Naval Base Primary School,primary,Primary,Yishun Ave 4,769028,67537114,nbps@moe.edu.sg,http://www.navalbasepri.moe.edu.sg/,,,,,
New Town Primary School,primary,Primary,Tanglin Halt Road,148812,64748805,ntps@moe.edu.sg,http://www.newtownpri.moe.edu.sg/,,,,,
Ngee Ann Primary School,primary,Primary,Marine Terrace,449149,64418677,naps@moe.edu.sg,http://www.ngeeannpri.moe.edu.sg,,,,,
Northland Primary School,primary,Primary,Yishun Avenue 4,769026,67598884,northland_ps@moe.edu.sg,http://www.northlandpri.moe.edu.sg,,,,,
Northoaks Primary School,primary,Primary,Sembawang Drive,757622,6753 8835,northoaks_ps@moe.edu.sg,http://www.northoakspri.moe.edu.sg,,,,,
Northshore Primary School,primary,Primary,Northshore Drive,828671,62026490,northshore_ps@moe.edu.sg,https://northshorepri.moe.edu.sg/,,,,,
North Spring Primary School,primary,Primary,Rivervale Street,545088,68816887,nsps@moe.edu.sg,http://www.northspringpri.moe.edu.sg,,,,,
North View Primary School,primary,Primary,Yishun Avenue 6,768960,67593235,nvps@moe.edu.sg,http://www.northviewpri.moe.edu.sg,,,,,
North Vista Primary School,primary,Primary,Compassvale Link,544974,64843566,nvtps@moe.edu.sg,http://www.northvistapri.moe.edu.sg,,,,,
Oasis Primary School,primary,Primary,Edgefield Plains,828716,6320 9855,oasis_ps@moe.edu.sg,http://www.oasispri.moe.edu.sg/,,,,,
Opera Estate Primary School,primary,Primary,Fidelio Street,458436,62410417,oeps@moe.edu.sg,http://www.operaestatepri.moe.edu.sg,,,,,
Palm View Primary School,primary,Primary,Compassvale Bow,544822,65087300,palmview_ps@moe.edu.sg,http://www.palmviewpri.moe.edu.sg,,,,,
Park View Primary School,primary,Primary,Pasir Ris Drive 1,519524,65851421,pvps@moe.edu.sg,http://www.parkviewpri.moe.edu.sg,,,,,
Pasir Ris Primary School,primary,Primary,Pasir Ris Street 21,518968,65822606,prps@moe.edu.sg,http://www.pasirrispri.moe.edu.sg,,,,,
Paya Lebar Methodist Girls' School (Primary),primary,Primary,Lorong Ah Soo,536741,62862795,plmgps@moe.edu.sg,http://www.payalebarmethodistgirlspri.moe.edu.sg/,,,,,
Pei Chun Public School,primary,Primary,Lorong 7 Toa Payoh,319320,63539450,pcps@moe.edu.sg,http://www.peichunpublic.moe.edu.sg,,,,,
Pei Hwa Presbyterian Primary School,primary,Primary,Pei Wah Avenue,597610,64663787,phpps@moe.edu.sg,http://www.peihwapresbyterianpri.moe.edu.sg/,,,,,
Pei Tong Primary School,primary,Primary,Clementi Avenue 5,129857,67775458,ptps@moe.edu.sg,http://www.peitongpri.moe.edu.sg/,,,,,
Peiying Primary School,primary,Primary,Yishun Ring Road,768687,62575684,peiying_ps@moe.edu.sg,http://www.peiyingpri.moe.edu.sg,,,,,
Pioneer Primary School,primary,Primary,Tengah Garden Avenue,699915,67932039,pioneer_ps@moe.edu.sg,http://www.pioneerpri.moe.edu.sg,,,,,
Poi Ching School,primary,Primary,Tampines Street 71,529067,67856420,contact@poiching.moe.edu.sg,http://www.poiching.moe.edu.sg,,,,,
Princess Elizabeth Primary School,primary,Primary,Bukit Batok West Avenue 3,659163,65655111,peps@moe.edu.sg,http://www.princesselizabethpri.moe.edu.sg,,,,,
Punggol Cove Primary School,primary,Primary,Sumang Walk,828674,63857339,punggolcove_ps@moe.edu.sg,https://punggolcovepri.moe.edu.sg/,,,,,
Punggol Green Primary School,primary,Primary,Punggol Walk,828772,65383011,admin_punggolgreen_ps@moe.edu.sg,http://www.punggolgreenpri.moe.edu.sg,,,,,
Punggol Primary School,primary,Primary,Hougang Avenue 8,538787,63850762,punggol_ps@moe.edu.sg,http://www.punggolpri.moe.edu.sg/,,,,,
Punggol View Primary School,primary,Primary,Punggol Place,828845,6570 1588,punggolview_ps@moe.edu.sg,http://www.punggolviewpri.moe.edu.sg,,,,,
Qifa Primary School,primary,Primary,West Coast Avenue,128104,67783085,qifa_ps@moe.edu.sg,http://www.qifapri.moe.edu.sg,,,,,
Qihua Primary School,primary,Primary,Woodlands Street 81,738525,62696250,qihua_ps@moe.edu.sg,http://www.qihuapri.moe.edu.sg,,,,,
Queenstown Primary School,primary,Primary,Margaret Dr,149303,64741044,qtps@moe.edu.sg,http://www.queenstownpri.moe.edu.sg,,,,,
Radin Mas Primary School,primary,Primary,Bukit Purmei Avenue,099840,62733937,rmps@moe.edu.sg,https://www.radinmaspri.moe.edu.sg/,,,,,
Raffles Girls' Primary School,primary,Primary,Hillcrest Road,289072,64684377,rgps@moe.edu.sg,http://www.rafflesgirlspri.moe.edu.sg,,,,,
Red Swastika School,primary,Primary,Bedok North Avenue 3,469719,64430380,redswastika@moe.edu.sg,http://www.redswastika.moe.edu.sg,,,,,
Riverside Primary School,primary,Primary,Woodlands Crescent,737803,63654490,riverside_ps@moe.edu.sg,http://www.riversidepri.moe.edu.sg,,,,,
Rivervale Primary School,primary,Primary,Rivervale Drive,545092,63887450,rivervale_ps@moe.edu.sg,http://www.rivervalepri.moe.edu.sg/,,,,,
River Valley Primary School,primary,Primary,River Valley Green,237993,67371785,rvps@moe.edu.sg,http://www.rivervalleypri.moe.edu.sg,,,,,
Rosyth School,primary,Primary,Serangoon North Avenue 4,555855,64812273,rosyth_sch@schools.gov.sg,https://www.rosyth.moe.edu.sg,,,,,
Rulang Primary School,primary,Primary,Jurong West Street 52,649295,65657771,rulang_ps@moe.edu.sg,http://www.rulangpri.moe.edu.sg/,,,,,
Sembawang Primary School,primary,Primary,Sembawang Drive,757715,67567330,sembawang_ps@moe.edu.sg,http://www.sembawangpri.moe.edu.sg,,,,,
Sengkang Green Primary School,primary,Primary,Fernvale Road,797636,63864255,sengkanggreen_ps@moe.edu.sg,https://sengkanggreenpri.moe.edu.sg/,,,,,
Seng Kang Primary School,primary,Primary,Compassvale Walk,545166,63840809,skps@moe.edu.sg,http://www.sengkangpri.moe.edu.sg/,,,,,
Shuqun Primary School,primary,Primary,Jurong West Street 51,649332,65637129,sqps@moe.edu.sg,http://www.shuqunpri.moe.edu.sg,,,,,
Si Ling Primary School,primary,Primary,Woodlands Avenue 1,739067,62698832,slps@moe.edu.sg,http://www.silingpri.moe.edu.sg,,,,,
Singapore Chinese Girls' Primary School,primary,Primary,Dunearn Road,309437,62527966,scgps@moe.edu.sg,https://www.scgs.moe.edu.sg,,,,,
South View Primary School,primary,Primary,Choa Chu Kang Central,689762,67697176,svps@moe.edu.sg,http://www.southviewpri.moe.edu.sg,,,,,
Springdale Primary School,primary,Primary,Anchorvale Link,544799,63157600,springdale_ps@moe.edu.sg,http://springdalepri.moe.edu.sg/,,,,,
St Andrew's School (Junior),primary,Primary,Francis Thomas Drive,359337,62884303,sasj@moe.edu.sg,http://www.saintandrewsjunior.moe.edu.sg,,,,,
St. Anthony's Canossian Primary School,primary,Primary,Bedok North Ave 4,469701,64492239,sacps@moe.edu.sg,http://www.stanthonyscanossianpri.moe.edu.sg,,,,,
St. Anthony's Primary School,primary,Primary,Bukit Batok St 32,659401,65690822,saps@moe.edu.sg,http://www.stanthonyspri.moe.edu.sg,,,,,
St. Gabriel's Primary School,primary,Primary,Lorong Chuan,556742,62803628,stgps@moe.edu.sg,http://www.stgabrielspri.moe.edu.sg,,,,,
St. Hilda's Primary School,primary,Primary,Tampines Ave 3,529706,67811916,shps@moe.edu.sg,http://www.shps.moe.edu.sg,,,,,
St. Joseph's Institution Junior,primary,Primary,Essex Road,309331,62552700,sjijunior@moe.edu.sg,https://sjijunior.moe.edu.sg,,,,,
St. Margaret's School (Primary),primary,Primary,Sophia Road,228197,63394247,stmargaretps@moe.edu.sg,http://www.stmargaretspri.moe.edu.sg,,,,,
St. Stephen's School,primary,Primary,Siglap View,455789,62419513,ststephensch@moe.edu.sg,http://www.ststephens.moe.edu.sg,,,,,
Tampines North Primary School,primary,Primary,Tampines Avenue 9,529565,67854329,tnps@moe.edu.sg,http://www.tampinesnorthpri.moe.edu.sg,,,,,
Tampines Primary School,primary,Primary,Tampines Street 12,529426,67831190,tpps@moe.edu.sg,http://www.tampinespri.moe.edu.sg,,,,,
Tanjong Katong Primary School,primary,Primary,Seraya Road,437259,63444728,tkps@moe.edu.sg,http://www.tanjongkatongpri.moe.edu.sg/,,,,,
Tao Nan School,primary,Primary,Marine Crescent,449761,64428307,taonan_sch@moe.edu.sg,http://www.taonan.moe.edu.sg,,,,,
Teck Ghee Primary School,primary,Primary,Ang Mo Kio Street 32,569299,64548769,tgps@moe.edu.sg,http://www.teckgheepri.moe.edu.sg,,,,,
Teck Whye Primary School,primary,Primary,Teck Whye Walk,688261,67691025,twps@moe.edu.sg,http://www.teckwhyepri.moe.edu.sg,,,,,
Telok Kurau Primary School,primary,Primary,Bedok Reservoir Rd,479239,62441600,telokkuraups@moe.edu.sg,http://www.telokkuraupri.moe.edu.sg,,,,,
Temasek Primary School,primary,Primary,Bedok South Ave 3,469300,64438134,temasek_ps@moe.edu.sg,http://www.temasekpri.moe.edu.sg,,,,,
Townsville Primary School,primary,Primary,Ang Mo Kio Ave 10,569730,64574345,townsvilleps@moe.edu.sg,http://www.townsvillepri.moe.edu.sg/,,,,,
Unity Primary School,primary,Primary,Choa Chu Kang Crescent,688268,67676750,unity_ps@moe.edu.sg,http://www.unitypri.moe.edu.sg,,,,,
Valour Primary School,primary,Primary,Punggol Central,828728,62426390,valour_ps@moe.edu.sg,https://valourpri.moe.edu.sg,,,,,
Waterway Primary School,primary,Primary,Punggol Drive,828802,6636 6880,waterway_ps@moe.edu.sg,https://waterwaypri.moe.edu.sg,,,,,
Wellington Primary School,primary,Primary,Wellington Circle,757702,67533319,wellingtonps@moe.edu.sg,http://www.wellingtonpri.moe.edu.sg,,,,,
West Grove Primary School,primary,Primary,Jurong West St 72,649223,62679234,wgps@moe.edu.sg,http://www.westgrovepri.moe.edu.sg/,,,,,
West Spring Primary School,primary,Primary,Bukit Panjang Ring Road,679946,63144192,westspring_ps@moe.edu.sg,http://www.westspringpri.moe.edu.sg,,,,,
West View Primary School,primary,Primary,Senja Road,677742,67600178,wvps@moe.edu.sg,http://www.westviewpri.moe.edu.sg,,,,,
Westwood Primary School,primary,Primary,Jurong West Street 73,649188,64121690,westwood_ps@moe.edu.sg,http://www.westwoodpri.moe.edu.sg,,,,,
White Sands Primary School,primary,Primary,Pasir Ris St 11,519075,69229100,wsps@moe.edu.sg,http://www.whitesandspri.moe.edu.sg,,,,,
Woodgrove Primary School,primary,Primary,Woodlands Drive 14,738079,68943371,woodgrove_ps@moe.edu.sg,http://www.woodgrovepri.moe.edu.sg/,,,,,
Woodlands Primary School,primary,Primary,Woodlands Drive 50,738853,62697410,wdp@moe.edu.sg,http://www.woodlandspri.moe.edu.sg,,,,,
Woodlands Ring Primary School,primary,Primary,Woodlands Ring Road,738240,63643679,wrps@moe.edu.sg,http://www.woodlandsringpri.moe.edu.sg,,,,,
Xinghua Primary School,primary,Primary,Hougang Avenue 1,538882,62889121,xinghua_ps@moe.edu.sg,http://www.xinghuapri.moe.edu.sg,,,,,
Xingnan Primary School,primary,Primary,Jurong West Street 91,649036,67913679,xingnan_ps@moe.edu.sg,http://www.xingnanpri.moe.edu.sg,,,,,
Xinmin Primary School,primary,Primary,Hougang Avenue 8,538784,62835479,xinmin_ps@moe.edu.sg,https://xinminpri.moe.edu.sg/,,,,,
Xishan Primary School,primary,Primary,Yishun Street 21,768611,67588837,xishan_ps@moe.edu.sg,https://www.xishanpri.moe.edu.sg/,,,,,
Yangzheng Primary School,primary,Primary,Serangoon Avenue 3,556108,62846298,yzps@moe.edu.sg,http://www.yangzhengpri.moe.edu.sg/,,,,,
Yew Tee Primary School,primary,Primary,Choa Chu Kang St 64,689100,67670027,ytps@moe.edu.sg,http://www.yewteepri.moe.edu.sg,,,,,
Yio Chu Kang Primary School,primary,Primary,Hougang Street 51,538720,63851365,admin_yckps@moe.edu.sg,http://www.yiochukangpri.moe.edu.sg,,,,,
Yishun Primary School,primary,Primary,Yishun Ring Road,768679,62577461,yps@moe.edu.sg,http://www.yishunpri.moe.edu.sg,,,,,
Yuhua Primary School,primary,Primary,Jurong East Street 24,609558,65605062,yuhua_ps@moe.edu.sg,http://www.yuhuapri.moe.edu.sg,,,,,
Yumin Primary School,primary,Primary,Tampines Street 21,529393,67811262,yumin_ps@moe.edu.sg,http://www.yuminpri.moe.edu.sg,,,,,
Yu Neng Primary School,primary,Primary,Bedok North St 3,469623,64490121,ynps@moe.edu.sg,http://www.ynps.moe.edu.sg/,,,,,
Zhangde Primary School,primary,Primary,Jalan Membina,169485,62740357,zhangde_ps@moe.edu.sg,http://www.zhangdepri.moe.edu.sg/,,,,,
Zhenghua Primary School,primary,Primary,Fajar Road,679002,67697478,zhenghua_ps@moe.edu.sg,http://www.zhenghuapri.moe.edu.sg,,,,,
Zhonghua Primary School,primary,Primary,Serangoon Avenue 4,556095,62835413,zhonghua_ps@moe.edu.sg,http://www.zhonghuapri.moe.edu.sg,,,,,
Admiralty Secondary School,secondary,Secondary,Woodlands Crescent,737916,63651733,admiralty_ss@moe.edu.sg,http://www.admiraltysec.moe.edu.sg,,,,,
Ahmad Ibrahim Secondary School,secondary,Secondary,Yishun Avenue 7,768928,67585384,aiss@moe.edu.sg,http://www.ahmadibrahimsec.moe.edu.sg,,,,,
Anderson Secondary School,secondary,Secondary,Ang Mo Kio Street 53,569206,64598303,anderson_ss@moe.edu.sg,http://www.andersonsec.moe.edu.sg,,,,,
Anglican High School,secondary,Secondary,Upper Changi Road,487012,62414866,ahs@moe.edu.sg,http://www.anglicanhigh.moe.edu.sg,,,,,
Anglo-Chinese School (Barker Road),secondary,Secondary,Barker Road,309919,62561633,acsbr@moe.edu.sg,http://www.acsbr.moe.edu.sg,,,,,
Anglo-Chinese School (Independent) (Secondary),secondary,Secondary,Dover Road,139650,67731633,acsindep@schools.gov.sg,https://www.acsindep.moe.edu.sg,,,,,
Ang Mo Kio Secondary School,secondary,Secondary,Ang Mo Kio Street 22,569362,64548605,amkss@moe.edu.sg,http://www.angmokiosec.moe.edu.sg,,,,,
Assumption English School,secondary,Secondary,Upper Bukit Timah Road,678117,65729100,aes@moe.edu.sg,http://www.assumptionenglish.moe.edu.sg,,,,,
Assumption Pathway School,secondary,Secondary,Cashew Road,679697,62793000,aps@schools.gov.sg,http://www.aps.edu.sg,,,,,
Bartley Secondary School,secondary,Secondary,Jalan Bunga Rampai,538403,62889013,bartley_ss@moe.edu.sg,http://www.bartleysec.moe.edu.sg,,,,,
Beatty Secondary School,secondary,Secondary,Toa Payoh North,318990,62569108,beatty_ss@moe.edu.sg,http://www.beattysec.moe.edu.sg,,,,,
Bedok Green Secondary School,secondary,Secondary,Bedok North Ave 3,469722,64463301,bgss@moe.edu.sg,http://www.bedokgreensec.moe.edu.sg,,,,,
Bedok South Secondary School,secondary,Secondary,Jalan Langgar Bedok,468585,64414479,bsss@moe.edu.sg,https://www.bedoksouthsec.moe.edu.sg/,,,,,
Bedok View Secondary School,secondary,Secondary,Bedok South Avenue 3,469293,64430563,bedokview_ss@moe.edu.sg,http://www.bedokviewsec.moe.edu.sg,,,,,
Bendemeer Secondary School,secondary,Secondary,St Wilfred Road,327919,62927616,bendemeer_ss@moe.edu.sg,http://www.bendemeersec.moe.edu.sg,,,,,
Boon Lay Secondary School,secondary,Secondary,Jurong West Street 65,648354,67940161,blss@moe.edu.sg,https://www.boonlaysec.moe.edu.sg,,,,,
Bowen Secondary School,secondary,Secondary,Lorong Napiri,547529,63859466,bowen_ss@moe.edu.sg,http://www.bowensec.moe.edu.sg,,,,,
Broadrick Secondary School,secondary,Secondary,Dakota Crescent,399935,63445025,broadrick_ss@moe.edu.sg,http://www.broadricksec.moe.edu.sg,,,,,
Bukit Batok Secondary School,secondary,Secondary,Bukit Batok West Ave 8,658962,63799413,bbss@moe.edu.sg,http://www.bukitbatoksec.moe.edu.sg,,,,,
Bukit Merah Secondary School,secondary,Secondary,Lengkok Bahru,159050,64748934,bmss@moe.edu.sg,http://www.bukitmerahsec.moe.edu.sg,,,,,
Bukit Panjang Govt. High School,secondary,Secondary,Choa Chu Kang Ave 4,689809,67691031,bpghs@moe.edu.sg,http://www.bpghs.moe.edu.sg,,,,,
Bukit View Secondary School,secondary,Secondary,Bukit Batok Street 21,659633,65661990,bukitview_ss@moe.edu.sg,https://www.bukitviewsec.moe.edu.sg,,,,,
Canberra Secondary School,secondary,Secondary,Sembawang Drive,757699,67585070,canberra_ss@moe.edu.sg,https://canberrasec.moe.edu.sg,,,,,
Catholic High School (Secondary),secondary,Secondary,Bishan Street 22,579767,64582177 (Secondary),chs@moe.edu.sg,http://www.catholichigh.moe.edu.sg,,,,,
Cedar Girls' Secondary School,secondary,Secondary,Cedar Avenue,349692,62884909,cedargirlss@moe.edu.sg,http://www.cedargirlssec.moe.edu.sg,,,,,
Changkat Changi Secondary School,secondary,Secondary,Simei St 3,529894,67859790,changkatchgi@moe.edu.sg,http://www.changkatchangisec.moe.edu.sg,,,,,
CHIJ Katong Convent,secondary,Secondary,Marine Terrace,449150,64486433,chijktcs@moe.edu.sg,http://www.chijkatongconvent.moe.edu.sg,,,,,
CHIJ Secondary (Toa Payoh),secondary,Secondary,Lorong 1 Toa Payoh,319764,63534972,chijtpss@moe.edu.sg,http://www.chijsec.edu.sg,,,,,
CHIJ St. Joseph's Convent,secondary,Secondary,Sengkang East Way,548595,64897580,chijsjcs@moe.edu.sg,http://www.chijstjosephsconvent.moe.edu.sg,,,,,
CHIJ St. Nicholas Girls' School (Secondary),secondary,Secondary,Ang Mo Kio Street 13,569405,63541839 (Secondary),chijsng_sec@moe.edu.sg,http://www.chijstnicholasgirls.moe.edu.sg,,,,,
CHIJ St. Theresa's Convent,secondary,Secondary,Lower Delta Road,099138,64775777,chijstcs@moe.edu.sg,http://www.chijsttheresasconvent.moe.edu.sg,,,,,
Christ Church Secondary School,secondary,Secondary,Woodlands Drive 17,737924,68933297,ccss@moe.edu.sg,http://www.christchurchsec.moe.edu.sg,,,,,
Chua Chu Kang Secondary School,secondary,Secondary,Teck Whye Crescent,688848,67691386,cckss@moe.edu.sg,http://www.chuachukangsec.moe.edu.sg,,,,,
Chung Cheng High School (Main),secondary,Secondary,Goodman Road,439012,63441393,cchms@moe.edu.sg,http://www.chungchenghighmain.moe.edu.sg,,,,,
Chung Cheng High School (Yishun),secondary,Secondary,Yishun Street 61,768547,67583912,cchys@moe.edu.sg,http://www.chungchenghighyishun.moe.edu.sg,,,,,
Clementi Town Secondary School,secondary,Secondary,Clementi Ave 3,129904,67777362,ctss@moe.edu.sg,http://www.clementitownsec.moe.edu.sg,,,,,
Commonwealth Secondary School,secondary,Secondary,West Coast Road,608784,65606866,cwss@moe.edu.sg,http://www.commonwealthsec.moe.edu.sg,,,,,
Compassvale Secondary School,secondary,Secondary,Compassvale Crescent,545083,68815047,cvss@moe.edu.sg,http://www.compassvalesec.moe.edu.sg,,,,,
Crescent Girls' School,secondary,Secondary,Tanglin Road,247961,64758711,crescentgirl@moe.edu.sg,http://www.crescent.edu.sg,,,,,
Crest Secondary School,secondary,Secondary,Jurong East Street 24,609561,68992779,info@crestsec.edu.sg,http://www.crestsec.edu.sg,,,,,
Damai Secondary School,secondary,Secondary,Bedok Reservoir Road,479229,64436848,damai_ss@moe.edu.sg,http://www.damaisec.moe.edu.sg,,,,,
Deyi Secondary School,secondary,Secondary,Ang Mo Kio Street 42,569277,64561565,deyi_ss@moe.edu.sg,http://www.deyisec.moe.edu.sg,,,,,
Dunearn Secondary School,secondary,Secondary,Bukit Batok West Avenue 2,659204,65653692,dunearn_ss@moe.edu.sg,http://www.dunearnsec.moe.edu.sg,,,,,
Dunman High School (Secondary),secondary,Secondary,Tanjong Rhu Road,436895,63450533,dhs@moe.edu.sg,http://www.dunmanhigh.moe.edu.sg,,,,,
Dunman Secondary School,secondary,Secondary,Tampines Street 45,529093,67862668,dunman_ss@moe.edu.sg,http://www.dunmansec.moe.edu.sg,,,,,
East Spring Secondary School,secondary,Secondary,Tampines Street 34,529231,65873805,esss@moe.edu.sg,http://www.eastspringsec.moe.edu.sg,,,,,
Edgefield Secondary School,secondary,Secondary,Punggol Field,828814,68839511,edgefield_ss@moe.edu.sg,http://www.edgefieldsec.moe.edu.sg,,,,,
Evergreen Secondary School,secondary,Secondary,Woodlands Street 83,738489,63656392,evergreen_ss@moe.edu.sg,http://www.evergreensec.moe.edu.sg,,,,,
Fairfield Methodist School (Secondary),secondary,Secondary,Dover Road,139649,67788702,fmss@moe.edu.sg,http://www.fairfieldmethodistsec.moe.edu.sg,,,,,
Fuhua Secondary School,secondary,Secondary,Jurong West Street 41,649410,65633067,fhss@moe.edu.sg,http://www.fuhuasec.moe.edu.sg,,,,,
Gan Eng Seng School,secondary,Secondary,Henderson Road,159561,64745594,gess@moe.edu.sg,http://www.ganengsengsch.moe.edu.sg,,,,,
Geylang Methodist School (Secondary),secondary,Secondary,Geylang East Central,389705,67466503,gmss@moe.edu.sg,http://www.geylangmethodistsec.moe.edu.sg,,,,,
Greendale Secondary School,secondary,Secondary,Edgedale Plains,828866,63158616,greendale_ss@moe.edu.sg,http://www.greendalesec.moe.edu.sg,,,,,
Greenridge Secondary School,secondary,Secondary,Gangsa Road,678972,67691491,gss@moe.edu.sg,http://www.greenridgesec.moe.edu.sg,,,,,
Guangyang Secondary School,secondary,Secondary,Bishan Street 12,579807,62589781,gyss@moe.edu.sg,http://guangyangsec.moe.edu.sg,,,,,
Hai Sing Catholic School,secondary,Secondary,Pasir Ris Drive 6,519421,65827864,hshs@moe.edu.sg,http://www.haisingcatholic.moe.edu.sg,,,,,
Hillgrove Secondary School,secondary,Secondary,Bukit Batok Street 52,659250,65603726,hillgrove_ss@moe.edu.sg,http://www.hillgrovesec.moe.edu.sg,,,,,
Holy Innocents' High School,secondary,Secondary,Upper Serangoon Road,534786,62833381,hihs@moe.edu.sg,http://www.holyinnocentshigh.moe.edu.sg,,,,,
Hougang Secondary School,secondary,Secondary,Hougang Street 93,534256,63851990,hougang_ss@moe.edu.sg,http://www.hougangsec.moe.edu.sg,,,,,
Hua Yi Secondary School,secondary,Secondary,Jurong West St 42,649371,65634568,hyss@moe.edu.sg,http://www.huayisec.moe.edu.sg,,,,,
Hwa Chong Institution (Secondary),secondary,Secondary,Bukit Timah Road,269734,64683955,admin@hci.edu.sg,https://www.hci.edu.sg/,,,,,
Junyuan Secondary School,secondary,Secondary,Tampines Street 84,528933,65873683,junyuan_ss@moe.edu.sg,https://junyuansec.moe.edu.sg/,,,,,
Jurong Secondary School,secondary,Secondary,Yuan Ching Road,618652,62655980,jurong_ss@moe.edu.sg,http://www.jurongsec.moe.edu.sg,,,,,
Jurongville Secondary School,secondary,Secondary,Jurong East Avenue 1,609790,65638704,jurongville@moe.edu.sg,http://www.jurongvillesec.moe.edu.sg,,,,,
Jurong West Secondary School,secondary,Secondary,Jurong West Street 65,648348,62623593,jwss@moe.edu.sg,https://www.jurongwestsec.moe.edu.sg,,,,,
Juying Secondary School,secondary,Secondary,Jurong West Street 91,649038,63089898,juying_ss@moe.edu.sg,http://juyingsec.moe.edu.sg,,,,,
Kent Ridge Secondary School,secondary,Secondary,West Coast Road,127368,67731127,krss@moe.edu.sg,http://www.kentridgesec.moe.edu.sg,,,,,
Kranji Secondary School,secondary,Secondary,Choa Chu Kang Street 51,689333,67662464,kranji_ss@moe.edu.sg,http://www.kranjisec.moe.edu.sg,,,,,
Kuo Chuan Presbyterian Secondary School,secondary,Secondary,Bishan Street 13,579795,62593811,kcpss@moe.edu.sg,http://www.kuochuanpresbyteriansec.moe.edu.sg,,,,,
Loyang View Secondary School,secondary,Secondary,Pasir Ris Street 11,519073,65821727,loyangview_ss@moe.edu.sg,http://www.loyangviewsec.moe.edu.sg,,,,,
Manjusri Secondary School,secondary,Secondary,Ubi Avenue 1,408940,68424558,manjusri_ss@moe.edu.sg,http://www.manjusrisec.moe.edu.sg,,,,,
Maris Stella High School (Secondary),secondary,Secondary,Mount Vernon Road,368051,62803880 (Sec),msh@moe.edu.sg,http://www.marisstellahigh.moe.edu.sg,,,,,
Marsiling Secondary School,secondary,Secondary,Marsiling Road,739110,68941413,marsiling_ss@moe.edu.sg,http://www.marsilingsec.moe.edu.sg,,,,,
Mayflower Secondary School,secondary,Secondary,Ang Mo Kio Street 21,569384,64577783,mayflower_ss@moe.edu.sg,http://www.mayflowersec.moe.edu.sg,,,,,
Meridian Secondary School,secondary,Secondary,Pasir Ris Street 51,518901,65831387,meridian_sec@moe.edu.sg,http://www.meridiansec.moe.edu.sg,,,,,
Methodist Girls' School (Secondary),secondary,Secondary,Blackmore Drive,599986,64694800,mgss@moe.edu.sg,http://www.mgs.moe.edu.sg,,,,,
Montfort Secondary School,secondary,Secondary,Hougang Avenue 8,538785,65107070,montfort_ss@moe.edu.sg,https://montfortsec.moe.edu.sg/,,,,,
Nan Chiau High School,secondary,Secondary,Anchorvale Link,545079,64897971,nchs@moe.edu.sg,http://www.nanchiauhigh.moe.edu.sg,,,,,
Nan Hua High School,secondary,Secondary,Clementi Avenue 1,129956,67788303,nhhs@moe.edu.sg,http://www.nanhuahigh.moe.edu.sg,,,,,
Nanyang Girls' High School,secondary,Secondary,Linden Drive,288683,64663275,nanyanggirls@nygh.edu.sg,https://www.nygh.edu.sg,,,,,
National Junior College (Secondary),secondary,Secondary,Hillcrest Road,288913,64661144,njc@moe.edu.sg,http://www.nationaljc.moe.edu.sg,,,,,
Naval Base Secondary School,secondary,Secondary,Yishun Ring Road,768689,62571996,nbss@moe.edu.sg,http://www.navalbasesec.moe.edu.sg,,,,,
New Town Secondary School,secondary,Secondary,Dover Road,139657,67754140,ntss@moe.edu.sg,http://www.newtownsec.moe.edu.sg,,,,,
Ngee Ann Secondary School,secondary,Secondary,Tampines Street 32,529283,67844583,nass@moe.edu.sg,http://www.ngeeannsec.moe.edu.sg,,,,,
Northbrooks Secondary School,secondary,Secondary,Yishun Ring Road,768692,67524311,northbrooks@moe.edu.sg,http://www.northbrookssec.moe.edu.sg,,,,,
Northland Secondary School,secondary,Secondary,Yishun Street 22,768578,62576781,northland_ss@moe.edu.sg,http://www.northlandsec.moe.edu.sg,,,,,
Northlight School,secondary,Secondary,Towner Road,327830,+65 69296290,nls@moe.edu.sg,https://www.nls.edu.sg,,,,,
North Vista Secondary School,secondary,Secondary,Rivervale Link,545081,68793930,northvistass@moe.edu.sg,http://www.northvistasec.moe.edu.sg,,,,,
NUS High School of Mathematics and Science,secondary,Secondary,Clementi Avenue 1,129957,65161709,einstein@highsch.nus.edu.sg,https://www.nushigh.edu.sg,,,,,
Orchid Park Secondary School,secondary,Secondary,Yishun Street 81,768454,67598547,opss@moe.edu.sg,http://www.orchidparksec.moe.edu.sg,,,,,
Outram Secondary School,secondary,Secondary,Anchorvale Crescent,549936,67334077,oss@moe.edu.sg,http://www.outramsec.moe.edu.sg,,,,,
Pasir Ris Crest Secondary School,secondary,Secondary,Pasir Ris Street 41,518934,65811655,prcss@moe.edu.sg,http://www.prcss.moe.edu.sg,,,,,
Pasir Ris Secondary School,secondary,Secondary,Tampines Street 21,529400,65010800,prss@moe.edu.sg,https://pasirrissec.moe.edu.sg,,,,,
Paya Lebar Methodist Girls' School (Secondary),secondary,Secondary,Lor Ah Soo,536742,62816606,plmgss@moe.edu.sg,http://www.plmgss.moe.edu.sg,,,,,
Peicai Secondary School,secondary,Secondary,Serangoon Avenue 4,556094,62021260,peicai_ss@moe.edu.sg,http://www.peicaisec.moe.edu.sg,,,,,
